/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00000 (0.0%) | Smooth Loss: 3.34216 | Img/sec: 2 | Elapsed: 0s
Step 00001 (0.0%) | Smooth Loss: 3.35934 | Img/sec: 20 | Elapsed: 0s
Step 00002 (0.0%) | Smooth Loss: 3.41979 | Img/sec: 20 | Elapsed: 0s
Step 00003 (0.0%) | Smooth Loss: 3.46679 | Img/sec: 20 | Elapsed: 0s
Step 00004 (0.0%) | Smooth Loss: 3.59564 | Img/sec: 20 | Elapsed: 0s
Step 00005 (0.0%) | Smooth Loss: 3.60166 | Img/sec: 20 | Elapsed: 0s
Step 00006 (0.1%) | Smooth Loss: 3.57911 | Img/sec: 20 | Elapsed: 1s
Step 00007 (0.2%) | Smooth Loss: 3.52936 | Img/sec: 20 | Elapsed: 2s
Step 00008 (0.3%) | Smooth Loss: 3.53719 | Img/sec: 20 | Elapsed: 2s
Step 00009 (0.3%) | Smooth Loss: 3.49915 | Img/sec: 20 | Elapsed: 3s
Step 00010 (0.4%) | Smooth Loss: 3.47931 | Img/sec: 20 | Elapsed: 4s
Step 00011 (0.5%) | Smooth Loss: 3.56316 | Img/sec: 20 | Elapsed: 5s
Step 00012 (0.6%) | Smooth Loss: 3.48666 | Img/sec: 20 | Elapsed: 5s
Step 00013 (0.7%) | Smooth Loss: 3.45418 | Img/sec: 20 | Elapsed: 6s
Step 00014 (0.8%) | Smooth Loss: 3.48188 | Img/sec: 20 | Elapsed: 7s
Step 00015 (0.9%) | Smooth Loss: 3.39997 | Img/sec: 20 | Elapsed: 8s
Step 00016 (0.9%) | Smooth Loss: 3.32185 | Img/sec: 20 | Elapsed: 9s
Step 00017 (1.0%) | Smooth Loss: 3.28835 | Img/sec: 20 | Elapsed: 9s
Step 00018 (1.1%) | Smooth Loss: 3.27557 | Img/sec: 20 | Elapsed: 10s
Step 00019 (1.2%) | Smooth Loss: 3.19567 | Img/sec: 20 | Elapsed: 11s
Step 00020 (1.3%) | Smooth Loss: 3.18924 | Img/sec: 20 | Elapsed: 12s
Step 00021 (1.4%) | Smooth Loss: 3.15516 | Img/sec: 20 | Elapsed: 12s
Step 00022 (1.5%) | Smooth Loss: 3.12689 | Img/sec: 20 | Elapsed: 13s
Step 00023 (1.6%) | Smooth Loss: 3.06366 | Img/sec: 20 | Elapsed: 14s
Step 00024 (1.6%) | Smooth Loss: 3.12394 | Img/sec: 20 | Elapsed: 15s
Step 00025 (1.7%) | Smooth Loss: 3.10757 | Img/sec: 20 | Elapsed: 16s
Step 00026 (1.8%) | Smooth Loss: 3.15292 | Img/sec: 20 | Elapsed: 16s
Step 00027 (1.9%) | Smooth Loss: 3.15239 | Img/sec: 20 | Elapsed: 17s
Step 00028 (2.0%) | Smooth Loss: 3.19346 | Img/sec: 20 | Elapsed: 18s
Step 00029 (2.1%) | Smooth Loss: 3.22492 | Img/sec: 20 | Elapsed: 19s
Step 00030 (2.2%) | Smooth Loss: 3.15544 | Img/sec: 20 | Elapsed: 19s
Step 00031 (2.2%) | Smooth Loss: 3.20493 | Img/sec: 20 | Elapsed: 20s
Step 00032 (2.3%) | Smooth Loss: 3.15241 | Img/sec: 20 | Elapsed: 21s
Step 00033 (2.4%) | Smooth Loss: 3.09216 | Img/sec: 20 | Elapsed: 22s
Step 00034 (2.5%) | Smooth Loss: 3.06016 | Img/sec: 20 | Elapsed: 23s
Step 00035 (2.6%) | Smooth Loss: 3.04362 | Img/sec: 20 | Elapsed: 23s
Step 00036 (2.7%) | Smooth Loss: 3.02407 | Img/sec: 20 | Elapsed: 24s
